"","AR","AR+PC","Ridge","LASSO","RF (4 lags)","RF","date"
"1",0.0940482105116686,0.077680696294532,0.039072216600405,0.0654505883058468,0.0882361624174781,0.0850164412561242,2000-03-01
"2",0.325240782954794,0.288941500689201,0.202955944542412,0.278925957615497,0.277424860517623,0.260537049964907,2000-04-01
"3",0.327198901404625,0.291156216980293,0.254299333399159,0.285987679134377,0.280321801258066,0.260545689845932,2000-05-01
"4",0.460477426776134,0.377594260713692,0.290742849675513,0.413642336640941,0.375336344757889,0.318539618902354,2000-06-01
"5",0.465285664349029,0.395611730546327,0.299688525767739,0.426557156771197,0.377388873513957,0.325622352793345,2000-07-01
"6",0.592217577880512,0.474159287787248,0.453798821024679,0.583530240937834,0.46970816516588,0.411577955648488,2000-08-01
"7",0.702480242138636,0.588174286086136,0.599490261625817,0.690687811651008,0.544349828367182,0.505110412366264,2000-09-01
"8",0.717471501290957,0.641502910175031,0.624488107004077,0.715593539950834,0.569983964521051,0.556096643944534,2000-10-01
"9",0.74421955212519,0.6519334815823,0.627028069850665,0.739850063605371,0.572384381358112,0.556927613613408,2000-11-01
"10",0.753509388109453,0.680149307007164,0.656059922687456,0.741584438312941,0.580351015452775,0.572133253676852,2000-12-01
"11",0.919349972896242,0.832452264226483,0.891945661251047,0.880431261219784,0.654719688760018,0.651663608694137,2001-01-01
"12",0.934796883179084,0.850254216087403,0.946543184392,0.911328375280551,0.676333040626174,0.678710747111978,2001-02-01
"13",1.03593693225746,0.907893458566286,1.02108573231182,0.970337221289409,0.727260004519958,0.705011368650091,2001-03-01
"14",1.03765138525617,0.908570102194555,1.02116578053554,0.971548758942809,0.737716070769654,0.717009488113341,2001-04-01
"15",1.16305107545851,0.995726768010196,1.13067709878432,1.04276029688408,0.797586404565889,0.751334204805002,2001-05-01
"16",1.19241245753464,1.0158102502725,1.16680809058639,1.06183578657973,0.807854596908247,0.767498077304255,2001-06-01
"17",1.39741661662212,1.14684677322571,1.21391537045621,1.27824839630364,0.972775722877038,0.896000235858988,2001-07-01
"18",1.41020379499725,1.15061728232942,1.21959777492613,1.29052421767051,0.989483001698203,0.905117700449705,2001-08-01
"19",1.48656505217865,1.20886631807012,1.27196461120615,1.3627770752051,1.00769176028204,0.916028459422841,2001-09-01
"20",1.85602312803588,1.4834736207575,1.32780648518078,1.64493170100514,1.28839184543621,1.21786162738768,2001-10-01
"21",1.87468750470497,1.49246214470492,1.69485791379662,1.65262817029408,1.3086051345177,1.22262705183972,2001-11-01
"22",1.88392093912528,1.49567597493987,1.69495203524925,1.65895839509214,1.38608712372358,1.30768402701076,2001-12-01
"23",1.89772039045705,1.52965509566282,1.69955727387325,1.6661863745983,1.38899906329308,1.3107589268829,2002-01-01
"24",1.89793863374226,1.5299168450439,1.70213550453258,1.66663164317296,1.39768970064054,1.31988818572551,2002-02-01
"25",1.91804674646819,1.56333550907756,1.75257524944356,1.69433981609828,1.40163099904053,1.32463761254456,2002-03-01
"26",2.0242146943003,1.65922102981413,1.76378980723649,1.75224987657768,1.43469586189599,1.35391453497025,2002-04-01
"27",2.03804198019633,1.65977171998271,1.76473236069866,1.77482592279741,1.45894391561599,1.37371079815753,2002-05-01
"28",2.06348314652511,1.66379120901408,1.76532826753223,1.79978036177951,1.467498564647,1.37789116495384,2002-06-01
"29",2.0877427873814,1.69894353161445,1.79841456730843,1.80429101350998,1.46768859757989,1.37792152485742,2002-07-01
"30",2.10217594409749,1.73221181798672,1.81118526753641,1.80814527271345,1.46822494147765,1.37899151777823,2002-08-01
"31",2.10366515088521,1.73267177380055,1.81170289113791,1.81332688870474,1.47264953920732,1.38395195713849,2002-09-01
"32",2.10369295876708,1.73447024505494,1.8127421123434,1.81391078200551,1.47370686168976,1.38432393740212,2002-10-01
"33",2.10688346404594,1.73626194412094,1.83728303354228,1.81679423724034,1.47936573802026,1.39285003837606,2002-11-01
"34",2.11011166909763,1.73806702590306,1.8372856480949,1.81850172736209,1.48177610377219,1.39339858825558,2002-12-01
"35",2.15022458690139,1.79365641242685,1.86195822482841,1.87085628167529,1.5242148422067,1.43147996383991,2003-01-01
"36",2.22477506345078,1.84214226966886,1.92272434824109,1.94045464431255,1.60544260777575,1.4959753519753,2003-02-01
"37",2.25552642363037,1.85487191867945,1.9583083493186,1.97506976990969,1.63510401017764,1.52344388451476,2003-03-01
"38",2.67947500156234,2.21471260920165,2.13431108537726,2.38092489137045,1.95688396421895,1.80043429206342,2003-04-01
"39",2.72882319959989,2.21830421720388,2.20192354608446,2.43686133673168,2.02949946664226,1.83858358290669,2003-05-01
"40",2.73388898020077,2.21860018693011,2.20495990582304,2.43686366726471,2.04183397024958,1.85799324704457,2003-06-01
"41",2.7686182710184,2.22268680948598,2.21955130996163,2.45883296464246,2.04638062172722,1.85897565413135,2003-07-01
"42",2.81047252236148,2.28036944743559,2.26210321794922,2.50454395355837,2.09196650115357,1.91198558395183,2003-08-01
"43",2.81258675059958,2.28308276213421,2.26539038320993,2.51040115226539,2.09258507319127,1.91198926131428,2003-09-01
"44",2.97017055790218,2.40688048501866,2.3425824700788,2.62839059311218,2.22746680603128,2.02989417707827,2003-10-01
"45",2.97696512695698,2.41640936448735,2.34426716236133,2.64464011014911,2.22776347834502,2.03074124614794,2003-11-01
"46",3.00425849532208,2.43779285162319,2.35115044498359,2.65049471219184,2.22776787929337,2.03074444000073,2003-12-01
"47",3.09657755014966,2.52191489888026,2.35986266006205,2.68172119260549,2.24384916307294,2.0470606586982,2004-01-01
"48",3.11109052159748,2.52519637700549,2.38786732466643,2.69172570187689,2.25300883659581,2.05816944055495,2004-02-01
"49",3.11156432182124,2.52724099751855,2.38793506559027,2.69195366720474,2.25301159390263,2.06025213950927,2004-03-01
"50",3.11324079767969,2.52930636887211,2.39711896692263,2.69729495208129,2.26309539971529,2.07553465996351,2004-04-01
"51",3.15806321987667,2.55815013502896,2.41302614466729,2.7319846197141,2.2977683482477,2.09875465830409,2004-05-01
"52",3.16107188309495,2.55844986859844,2.42025727268532,2.7323711871793,2.29948125535359,2.10047513913768,2004-06-01
"53",3.1873696731131,2.5614917774422,2.42891976090354,2.75640958712844,2.32501776539781,2.11103838708364,2004-07-01
"54",3.21105482011002,2.58090727449033,2.44241335959313,2.7945032579661,2.36054506274448,2.12849445080589,2004-08-01
"55",3.22955075378627,2.59118973370914,2.4871280989378,2.81082275179121,2.3615455828142,2.13191903660209,2004-09-01
"56",3.28470578963229,2.65132867701876,2.54333970325082,2.8696634460527,2.42202541050342,2.19660694946955,2004-10-01
"57",3.29308591230409,2.65133048900884,2.54613166330597,2.87799790953698,2.43275973110045,2.2056996316657,2004-11-01
"58",3.42755187126591,2.74761603771027,2.57234571054907,2.98084424045063,2.53490942189843,2.30423610897551,2004-12-01
"59",3.49208762985312,2.78304488383719,2.63529277386387,3.04548716485054,2.55953603162039,2.34013509118845,2005-01-01
"60",3.55461363325171,2.80518505811539,2.6441207936978,3.07669843252872,2.57085230519931,2.35119353107999,2005-02-01
"61",3.55617829598377,2.8055604924284,2.64467210529522,3.07697374014554,2.57388022230043,2.35210496155486,2005-03-01
"62",3.55631608952269,2.80583688183484,2.66763448116433,3.07930147294382,2.57498806632151,2.35246948647185,2005-04-01
"63",3.65539380367934,2.90124522882145,2.79388977356698,3.19788339687475,2.68015726503764,2.43591050190246,2005-05-01
"64",3.6689757319189,2.9144798574666,2.80206293148162,3.21906992730558,2.68943681603053,2.43591053374464,2005-06-01
"65",3.84843541073147,2.98920164055168,2.87174748009267,3.33870468964356,2.77856035971586,2.50536160817413,2005-07-01
"66",3.89180811338191,3.00373535740981,2.90804246876239,3.36945604957203,2.83461378270194,2.55999092049206,2005-08-01
"67",4.89061539293393,3.88709034313362,3.60199062994651,4.1200960583735,3.60438972090587,3.25626032905387,2005-09-01
"68",5.23081700783746,4.22997277965776,3.98198873621391,4.3793228155645,3.8094882012973,3.47755514827885,2005-10-01
"69",5.99886925336043,4.7872760083061,4.51716635580116,5.22539360855099,4.36915148387376,4.07010897659714,2005-11-01
"70",6.00353607837582,4.79535145298626,4.53495538327065,5.26062899660214,4.37146881475712,4.07261043925033,2005-12-01
"71",6.14855580442256,4.82880785498854,4.55247349079711,5.31836197237064,4.41637872094252,4.12507319165533,2006-01-01
"72",6.31752174343436,5.12216193288573,4.66377021618859,5.65698032347107,4.58714691157858,4.28681578386158,2006-02-01
"73",6.31827690638421,5.12455298816023,4.66406267236249,5.66535480795596,4.59108391031739,4.30021014422787,2006-03-01
"74",6.41205340878755,5.13232875579827,4.67693106301478,5.72420232940089,4.5982807747017,4.31145633086414,2006-04-01
"75",6.41750338360403,5.16986491281641,4.71756762096346,5.74543735875033,4.59917382282623,4.31192461088962,2006-05-01
"76",6.46411196116221,5.22486286455999,4.71765606125921,5.76275857697454,4.60227738527112,4.32362881426965,2006-06-01
"77",6.55011284072868,5.30144584906799,4.86216502281037,5.80737568894452,4.65250868015228,4.38420527915305,2006-07-01
"78",6.58890787274761,5.33296149618693,4.86507282132819,5.80791307181858,4.66547755688538,4.40034674095442,2006-08-01
"79",7.3508182452591,5.84113877903082,5.46657828861091,6.60770817595553,5.25158000386649,4.94564336973366,2006-09-01
"80",7.54705655328351,6.0032613443683,5.53678214761922,6.84454661031791,5.48662551276675,5.13020906384891,2006-10-01
"81",7.55740150631994,6.03320539046875,5.56930263614842,6.85577671561341,5.55590221386653,5.21829556893108,2006-11-01
"82",7.67458895035315,6.05431754156202,5.66651442192279,6.89509252801472,5.5999489134657,5.24062155015624,2006-12-01
"83",7.68269444694446,6.07891865968004,5.75851647527929,6.97733987215405,5.62737122796884,5.26374985952754,2007-01-01
"84",7.70667331749283,6.12238705944306,5.83431608287632,7.02162722219057,5.73503574298618,5.35633210192681,2007-02-01
"85",7.75170319921484,6.13050010494976,5.83463851532077,7.03000853426612,5.75420264618492,5.3618647079729,2007-03-01
"86",7.75312668455995,6.13168797509565,5.83757702064172,7.04788061251684,5.75904072493298,5.3661766382265,2007-04-01
"87",7.76652136819687,6.13702719044653,5.86396915431287,7.0494991740722,5.77542596911899,5.38579562447672,2007-05-01
"88",7.77283105052669,6.15163490630333,5.86427163061118,7.09277664618126,5.77984831741021,5.38747443667408,2007-06-01
"89",7.77737056775933,6.15378973679219,5.8676686011904,7.13120284002208,5.78657080573525,5.39120036496788,2007-07-01
"90",7.77784876992991,6.1542383810831,5.9668786730414,7.23210795611399,5.85114508996519,5.47526569380251,2007-08-01
"91",7.80014518498209,6.25572533140285,6.05926594682779,7.26286381291997,5.89749749143891,5.51216570995496,2007-09-01
"92",7.82650268747513,6.31691023360276,6.0606767575751,7.27496348658904,5.89766741948933,5.5122363153233,2007-10-01
"93",7.99435787183189,6.49519774868753,6.39216619191077,7.50228496046724,6.15901061775024,5.77515294824627,2007-11-01
"94",8.02182669060723,6.52642378285902,6.40507743290794,7.54663542155735,6.19470609236089,5.81048293123516,2007-12-01
"95",8.02184221000493,6.55870951297462,6.47142632711033,7.55450803808051,6.22770660328043,5.83618462114307,2008-01-01
"96",8.04026451971962,6.5840197709892,6.50889011903357,7.56631175602678,6.23657245571908,5.85471132392704,2008-02-01
"97",8.05094805821853,6.62332780334265,7.30042496229018,7.56733883605882,6.24052147098197,5.85800389027143,2008-03-01
"98",8.06907106935766,6.63162269120183,7.30784338912514,7.57436988099725,6.24685477235699,5.86551693041173,2008-04-01
"99",8.20184886071551,6.86868157071708,7.44365268019064,7.69380271449069,6.35963625033177,6.00278850025653,2008-05-01
"100",8.58188350346795,7.27807368551681,8.16678173658792,8.08630552387405,6.8233340161299,6.4472896480177,2008-06-01
"101",8.60157027929833,7.36674046188018,8.21593234852285,8.11937841853827,6.8956340156301,6.48493281197048,2008-07-01
"102",9.23156032030456,7.71196234405861,8.2470714245692,8.37469234805295,7.21315481218822,6.80132552415484,2008-08-01
"103",9.24819006803866,7.73099403693604,8.25956820652836,8.37532304191394,7.22031728567216,6.81154778008167,2008-09-01
"104",10.8401893298814,9.03973980631248,9.33591154362454,9.7199009086674,8.68059646180517,8.33358224455094,2008-10-01
"105",13.4282027800793,10.3443886374761,11.1288593833229,12.5929836535934,11.8202795851865,11.3292759422589,2008-11-01
"106",13.4821323436448,10.3527007799831,11.3213590420086,12.6452068316194,12.1368435249869,11.6716021774573,2008-12-01
"107",13.7705627889526,10.9109071449729,11.3672121436494,12.8136616305115,12.2951915999983,11.8026818602836,2009-01-01
"108",13.8007472362101,10.9356702064162,11.3745863384586,12.8142755471356,12.3533072566574,11.8571425414133,2009-02-01
"109",13.9465903750691,10.9714834490868,11.4277860206187,12.9562910028787,12.3855349375456,11.9082397469594,2009-03-01
"110",13.9486064128999,11.0500375639951,11.6051020285386,12.9562910318973,12.4610746596636,11.9850432047856,2009-04-01
"111",13.9921982803737,11.0827781611019,11.6192017629591,12.9573989194664,12.463055369106,11.9852326452376,2009-05-01
"112",15.1607409635861,12.2436277573276,11.8224510775203,13.3624719772628,12.8281919615126,12.3562972082399,2009-06-01
"113",15.2026811065044,12.7041768640599,12.3839809372306,13.6081560627138,13.0577541227101,12.6396154055992,2009-07-01
"114",15.5187154125095,13.6227681962923,12.7341750712574,13.6489067462201,13.357514839746,12.9542432742731,2009-08-01
"115",15.6264553934913,13.6800588089173,12.8336041765683,13.6635404648147,13.3634213219601,12.9860420296614,2009-09-01
"116",15.6265322901742,13.7743474903926,12.8436904123947,13.6682924550588,13.3769742222516,12.998838762758,2009-10-01
"117",15.6303449280362,13.7889094301631,12.8450690128285,13.6721751857487,13.3786118793216,12.9991110708957,2009-11-01
"118",15.7083180089914,13.8058886013405,12.8509008220737,13.7162055340845,13.4116559658641,13.0247756520394,2009-12-01
"119",15.7197098634887,13.8058965091627,12.9225059611667,13.7265491996511,13.4126148770617,13.0277261836386,2010-01-01
"120",15.7989796033669,13.8757960532624,13.0384931045812,13.7972695543955,13.5711296713308,13.2082975304485,2010-02-01
"121",15.8020674583567,13.9805148329953,13.1162580276544,13.802383596735,13.5712249269664,13.2082989098766,2010-03-01
"122",15.8102239485373,14.0108056547327,13.1409669494425,13.8193908364648,13.6256051556983,13.2628453436523,2010-04-01
"123",15.8347766795703,14.0111001696457,13.1450457717194,13.8548130341469,13.7030898781515,13.3151007804959,2010-05-01
"124",15.8428833622849,14.018681626633,13.1767874156913,13.8847466802991,13.7600497514325,13.377005751921,2010-06-01
"125",15.8570037815588,14.0894968587341,13.1768051425008,13.887338305962,13.760956993462,13.3772864498953,2010-07-01
"126",15.858479490493,14.0941309725685,13.1982604556228,13.8933097258081,13.7721600244975,13.384580187311,2010-08-01
"127",15.8584811616313,14.0994134173124,13.1984545369687,13.8962156748795,13.7753895140701,13.3848403667194,2010-09-01
"128",15.8861418007353,14.1721903454222,13.2617389221197,13.9125311082951,13.7876403747315,13.4021786176347,2010-10-01
"129",15.8893757090819,14.1726004973643,13.2687460286235,13.9134036123831,13.7879395829303,13.4034997340214,2010-11-01
"130",15.9087898677582,14.255037697679,13.3828389272925,13.9382118004485,13.8323336796591,13.4530326070637,2010-12-01
